"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Equatorial Guinea","255.57","246.77","231.84","248.69","231.05","229.76","229.12","294.76","289.68","284.08","266.69","241.67","255.58","222.33","179.57","144.03","122.74","104.68","87.19","75.52","28.00","18.73"
"Eritrea","25.36","24.70","25.98","24.02","22.36","23.65","26.82","31.54","29.53","25.96","33.27","24.43","22.66","19.69","18.40","22.32","20.61","21.77","18.62","14.82","14.00","13.18"
"Estonia","2094.50","1789.03","1599.35","1553.43","1350.13","1226.09","1156.20","1287.76","1194.86","1058.72","1061.16","966.19","1006.51","1082.15","866.50","627.18","549.63","474.51","368.98","250.48","214.70","209.98"
"Eswatini","279.91","222.53","274.95","266.45","267.07","227.80","252.68","285.05","306.57","343.83","369.37","346.70","282.30","267.73","253.80","238.98","218.71","177.12","132.39","75.28","76.11","77.75"
"Ethiopia","26.48","28.70","26.23","23.85","24.51","24.67","23.53","21.90","19.54","20.29","14.84","16.41","15.36","13.22","11.79","8.53","6.56","5.80","5.76","5.19","5.55","5.32"
"Fiji","250.03","231.98","253.74","249.37","185.64","176.07","169.73","178.71","159.02","154.22","141.66","128.40","121.84","135.50","141.43","127.43","121.24","111.04","86.90","70.07","62.10","75.04"
"Finland","5487.88","4736.34","4460.11","4521.50","4235.95","4108.93","4128.40","4922.65","4892.20","4573.29","4717.57","4251.59","4349.93","4486.36","3918.66","3414.94","3236.87","3044.13","2613.83","2059.31","1810.39","1726.74"
"France","5380.88","4755.44","4504.48","4666.98","4410.60","4256.77","4201.78","4980.81","4884.77","4644.60","4931.88","4592.38","4737.58","4807.37","4312.31","3811.55","3575.03","3458.63","3006.31","2449.76","2192.72","2161.85"
"Gabon","233.87","228.02","208.29","211.23","193.98","208.91","188.42","234.42","262.78","226.33","262.77","207.94","283.03","271.51","254.20","212.61","190.27","182.61","166.89","132.22","121.07","123.33"
"Gambia","24.63","26.25","22.83","22.85","21.20","20.47","19.43","17.14","25.34","29.31","30.83","32.82","34.47","39.97","35.93","33.49","33.34","32.34","28.66","36.57","38.21","46.74"
"Georgia","417.07","354.73","308.57","331.87","303.94","321.08","294.35","369.14","357.91","348.77","316.82","289.54","274.68","286.31","199.06","154.49","134.39","106.87","82.01","67.17","57.25","53.03"
"Germany","6626.00","5936.25","5486.99","5511.21","5070.20","4746.87","4627.36","5309.15","5100.15","4765.68","5037.49","4611.42","4674.92","4669.76","4182.92","3698.04","3558.21","3459.82","3152.79","2567.50","2346.67","2344.41"
"Ghana","100.00","87.44","93.19","82.99","74.57","64.43","77.74","78.04","104.81","83.49","95.87","71.61","61.81","61.91","54.76","45.97","39.75","25.61","23.23","19.76","19.21","16.27"
"Greece","1845.78","1675.12","1569.03","1603.08","1509.78","1513.26","1481.42","1700.49","1832.03","1948.25","2338.92","2564.37","2809.06","2840.51","2426.76","2052.88","1935.27","1782.70","1566.41","1168.82","1004.82","885.41"
"Grenada","505.40","469.01","487.60","438.92","433.49","392.78","389.39","368.81","405.40","401.85","393.21","366.41","370.05","395.51","355.66","321.83","324.56","293.60","287.29","308.34","271.17","259.38"
"Guatemala","340.96","289.13","278.55","265.75","265.18","246.12","233.42","216.80","198.34","200.34","190.71","174.79","168.86","175.12","158.38","148.54","131.96","121.73","112.98","107.24","99.69","83.35"
"Guinea","44.69","41.62","42.68","35.31","33.02","38.92","43.94","37.09","26.22","23.99","24.42","22.87","24.00","23.25","22.81","16.35","19.94","26.76","25.94","25.15","22.04","23.00"
"Guinea-Bissau","68.82","68.05","54.02","58.79","54.74","56.53","52.39","64.92","46.01","37.73","44.70","31.59","27.60","34.94","26.17","22.81","21.11","18.49","14.87","14.41","14.87","13.32"
"Guyana","470.57","377.87","317.60","298.95","268.69","237.30","228.02","216.93","212.03","202.52","186.59","162.99","150.38","138.78","125.85","98.42","85.49","74.89","68.43","65.33","60.47","62.85"
"Haiti","57.88","44.18","49.09","62.02","53.58","59.83","68.24","64.86","59.16","74.80","76.82","55.51","41.22","40.26","37.41","28.96","25.12","23.90","18.50","22.23","27.21","30.15"
"Honduras","253.92","212.70","184.04","177.65","168.39","176.97","168.93","171.30","175.02","182.42","180.58","163.54","158.54","147.42","126.12","110.84","96.75","82.34","78.74","69.90","66.35","67.67"
"Hungary","1381.62","1172.84","1054.28","1080.45","985.07","914.19","870.52","1006.16","990.63","961.14","1063.43","983.11","943.69","1117.20","1003.26","893.20","895.20","798.45","682.87","473.13","359.70","313.11"
"Iceland","6716.37","5651.73","5865.23","6233.92","5944.97","5015.73","4269.93","4487.53","4068.56","3759.89","3910.58","3612.05","3620.84","4746.69","5800.04","4915.05","5076.37","4411.33","3837.10","3044.79","2526.90","2853.73"
"India","74.04","64.03","60.95","57.70","56.90","59.96","58.35","56.57","55.67","48.61","48.32","44.90","38.12","37.69","35.66","29.39","27.50","24.92","21.88","20.14","19.72","18.45"
"Indonesia","160.64","133.26","119.50","111.91","111.51","107.53","97.16","103.06","103.38","106.90","108.03","86.36","62.98","59.80","56.52","44.81","34.41","26.21","25.74","19.15","17.03","15.54"
"Iran (Islamic Republic of)","392.54","338.25","378.47","478.39","466.99","447.14","384.26","375.28","408.33","513.45","518.84","436.14","364.43","297.51","245.01","197.78","173.80","142.18","116.90","105.70","94.32","80.96"
"Iraq","248.92","245.48","239.58","231.00","195.82","198.71","148.30","178.02","185.74","173.40","160.81","143.53","139.06","138.11","99.65","56.20","52.52","51.29","26.72","","",""
"Ireland","6764.26","6098.27","5462.73","5187.06","5010.26","4726.31","4575.94","5316.27","5313.71","5210.36","5545.76","5133.46","5502.89","5638.78","4858.65","4147.13","3938.19","3483.16","2910.93","2200.36","1823.73","1564.84"
"Israel","4338.94","3637.03","3354.45","3219.69","3093.89","2801.22","2660.70","2816.12","2681.19","2410.15","2445.98","2240.44","2036.26","2128.55","1772.59","1558.29","1512.27","1443.16","1389.94","1361.95","1514.77","1471.62"
"Italy","3349.60","3061.87","2910.65","3002.76","2809.72","2699.73","2675.67","3154.28","3149.24","3086.30","3392.01","3217.68","3337.75","3504.11","3092.56","2832.70","2677.55","2565.63","2163.03","1762.54","1586.66","1524.24"
